u,v,jaccard,adamic_adar
vwbaker,pizzud,0.0,0.0
vwbaker,akhilgoe,0.0,0.0
vwbaker,majnemer,0.0,0.0
vwbaker,tensorflower-gardener,0.0,0.0
vwbaker,alexander-shaposhnikov,0.0,0.0
vwbaker,cantonios,0.0,0.0
vwbaker,mrguenther,0.0,0.0
vwbaker,mkuperst,0.0,0.0
vwbaker,mtsokol,0.0,0.0
vwbaker,protobird-git,0.0,0.0
vwbaker,beckerhe,0.0,0.0
vwbaker,deqiangc,0.0,0.0
vwbaker,mooskagh,0.0,0.0
vwbaker,ermilovmaxim,0.0,0.0
vwbaker,mraunak,0.0,0.0
vwbaker,zvikinoza,0.0,0.0
vwbaker,nvgrw,0.0,0.0
vwbaker,allanrenucci,0.0,0.0
vwbaker,ezhulenev,0.0,0.0
vwbaker,apivovarov,0.0,0.0
jakeharmon8,mwhittaker,0.0,0.0
jakeharmon8,chsigg,0.0,0.0
jakeharmon8,belitskiy,0.0,0.0
jakeharmon8,WillFroom,0.0,0.0
jakeharmon8,EusebioDM,0.0,0.0
jakeharmon8,hugomano,0.0,0.0
jakeharmon8,Moerafaat,0.0,0.0
jakeharmon8,alekstheod,0.0,0.0
jakeharmon8,thomasjoerg,0.0,0.0
jakeharmon8,jpienaar,0.0,0.0
jakeharmon8,yashk2810,0.0,0.0
jakeharmon8,ggawryal,0.0,0.0
jakeharmon8,bixia1,0.0,0.0
jakeharmon8,shawnwang18,0.0,0.0
jakeharmon8,Tixxx,0.0,0.0
jakeharmon8,pizzud,0.0,0.0
jakeharmon8,akhilgoe,0.0,0.0
jakeharmon8,majnemer,0.0,0.0
jakeharmon8,tensorflower-gardener,0.0,0.0
jakeharmon8,alexander-shaposhnikov,0.0,0.0
jakeharmon8,cantonios,0.0,0.0
jakeharmon8,mrguenther,0.0,0.0
jakeharmon8,mkuperst,0.0,0.0
jakeharmon8,mtsokol,0.0,0.0
jakeharmon8,protobird-git,0.0,0.0
jakeharmon8,beckerhe,0.0,0.0
jakeharmon8,deqiangc,0.0,0.0
